Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.081339	8.56096	59.0	9.0	19.081339	0.09591592	0.061094504	0.21261929	-0.029421031	4000	-1.73226e-07	174.81032	-0.014306956	-15.474419	0.68763983	0.0076694563	0.0925	79.0	1.6052863597869873
1	23.526627	12.671108	75.0	9.0	23.526627	0.902932	0.1805054	1.8682058	0.6442916	8000	-7.8231096e-08	270.938	-0.014092035	-32.58413	0.69231045	0.005245555	0.03725	79.0	3.435014009475708
2	26.218542	13.780634	68.0	10.0	26.218542	2.3391235	0.5201882	5.4259505	1.5258973	12000	1.1175871e-08	280.46387	-0.012293361	-49.497505	0.6877307	0.0042455997	0.021	79.0	5.25351619720459
3	29.544777	16.033834	95.0	9.0	29.544777	4.5608625	0.92714185	9.106585	2.706328	16000	3.1664968e-08	303.07623	-0.0111006275	-62.459305	0.6759621	0.0051485393	0.020750001	79.0	6.771307945251465
4	39.57	23.727306	128.0	11.0	39.57	7.514516	1.5054669	14.852813	3.7889638	20000	1.071021e-08	465.76593	-0.011214854	-103.90338	0.66345227	0.0031106297	0.0175	79.0	8.773886680603027
5	52.460526	33.3843	168.0	12.0	52.460526	11.9461155	2.2978911	23.781618	6.198151	24000	-7.450581e-09	628.8036	-0.0101335365	-143.48729	0.65094846	0.0035351566	0.02875	79.0	10.349066495895386
6	70.35714	37.87264	166.0	16.0	70.35714	17.30022	3.8143208	36.79947	6.6697693	28000	2.9802322e-08	690.6627	-0.011089124	-159.06473	0.6460757	0.0028661352	0.0235	79.0	12.016419172286987
7	80.229164	51.056034	200.0	12.0	80.229164	23.551313	3.3992612	43.465958	17.291782	32000	-4.0978193e-08	788.30115	-0.009974986	-168.94766	0.63052416	0.0035713762	0.0215	79.0	13.819333553314209
8	110.42857	54.080517	200.0	13.0	110.42857	29.491173	2.5572674	49.549442	25.983728	36000	-7.450581e-09	805.34357	-0.005812593	-190.3884	0.62300265	0.00512349	0.017250001	79.0	15.305777549743652
9	104.702705	55.338203	200.0	18.0	104.702705	36.357845	2.1790063	58.93892	27.852346	40000	-2.0489097e-08	633.53015	-0.009377845	-93.22482	0.6127553	0.006655778	0.0255	79.0	17.159202575683594
