Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.19149	11.542499	71.0	8.0	21.19149	0.047827646	0.03335065	0.1540866	-0.039735794	4000	1.5366822e-08	248.46692	-0.021040436	-26.235458	0.68284774	0.009656625	0.15975	79.0	1.6158015727996826
1	23.690475	13.909979	102.0	9.0	23.690475	1.1305225	0.08376152	1.329792	0.52189416	8000	-5.5879354e-08	297.74963	-0.015319258	-37.031677	0.6906033	0.009890005	0.12225	79.0	3.3523740768432617
2	28.52143	17.335129	116.0	9.0	28.52143	2.6183465	0.18441458	3.293333	1.6410418	12000	4.4703484e-08	373.95383	-0.0113643035	-57.32611	0.6833805	0.0046098973	0.0425	79.0	5.13101053237915
3	38.30392	23.653872	141.0	10.0	38.30392	4.79642	0.19721207	5.392089	4.05135	16000	-6.146729e-08	535.53955	-0.011633896	-94.94795	0.6716322	0.002980933	0.0375	79.0	6.759681224822998
4	50.05128	35.54805	200.0	12.0	50.05128	7.8592134	0.14919266	8.158923	7.351177	20000	-7.636845e-08	823.72107	-0.0113968365	-149.84473	0.65633106	0.0026986487	0.0335	79.0	8.345390796661377
5	60.015385	37.926445	138.0	15.0	60.015385	11.760748	0.72100896	13.935627	9.641488	24000	-1.2107193e-07	775.2081	-0.011563046	-138.8017	0.63927037	0.0033444231	0.0195	79.0	10.149962663650513
6	93.59524	44.99686	200.0	17.0	93.59524	15.125203	1.9846832	19.598696	3.7787132	28000	3.7252903e-09	1054.144	-0.009509474	-208.23575	0.632413	0.0036482671	0.020750001	79.0	11.740749835968018
7	97.85	51.063465	200.0	18.0	97.85	20.269419	0.7262964	21.904924	18.043854	32000	-5.2154064e-08	977.444	-0.0061970055	-157.4617	0.62411374	0.0041528572	0.0185	79.0	13.745902061462402
8	127.586205	53.722477	200.0	21.0	127.586205	23.939466	0.9609888	26.086267	19.256159	36000	3.8882717e-08	1147.0509	-0.005404494	-187.96274	0.62068856	0.0011219751	0.00875	79.0	15.662153244018555
9	131.46666	54.490814	200.0	31.0	131.46666	28.186974	0.9912071	30.227877	23.015972	40000	8.754432e-08	953.5777	-0.008136598	-129.19482	0.60496676	0.0046869684	0.03425	79.0	17.224387407302856
