Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.508108	10.264143	60.0	9.0	21.508108	-0.2113699	0.04671924	-0.14933701	-0.41607273	4000	-1.5646219e-07	232.46518	-0.028297983	-101.906265	0.68954635	0.015099658	0.20175001	79.0	2.2745046615600586
1	32.365852	17.53105	99.0	8.0	32.365852	5.7114406	1.0205477	12.342428	4.409969	8000	4.0978193e-08	326.21405	-0.02170692	-173.85056	0.68317586	0.0068216515	0.08675	79.0	4.578438758850098
2	45.712643	29.235825	157.0	10.0	45.712643	17.348963	2.0611646	23.536007	8.309075	12000	3.7252903e-09	369.49817	-0.023978718	-95.06377	0.66337335	0.008224229	0.094	79.0	7.017523765563965
3	70.65455	42.32825	200.0	10.0	70.65455	25.729221	4.6793756	39.511597	2.6535792	16000	1.3969839e-08	496.35327	-0.018153666	-128.34077	0.6408299	0.0062621674	0.07225	79.0	9.301573753356934
4	104.21622	49.492085	200.0	16.0	104.21622	34.057346	7.5526752	42.253628	1.1831144	20000	-4.4703484e-08	462.7187	-0.017263766	-114.96123	0.6220993	0.008286644	0.082499996	79.0	11.794090270996094
5	155.29167	45.70875	200.0	49.0	155.29167	43.26824	11.688782	57.12283	-12.290577	24000	5.5879354e-09	431.80475	-0.0071258023	-161.9251	0.6032414	0.015742052	0.1615	12.0	14.136541843414307
6	134.0	34.04304	200.0	60.0	134.0	49.509483	18.7999	68.185486	-22.644192	28000	0.0	216.67944	-0.010075573	-63.034546	0.59584725	0.0066398913	0.06375	79.0	17.006118774414062
7	173.68182	47.356853	200.0	12.0	173.68182	53.718273	13.842518	70.704445	-7.852356	32000	3.7252903e-09	343.46924	-0.009835907	-35.438644	0.5756837	0.0082171615	0.08775	79.0	20.2050621509552
8	168.5	38.09408	200.0	81.0	168.5	54.383118	17.388075	74.47062	-2.7414672	36000	-4.8894435e-09	252.89304	-0.008776505	-39.82366	0.5728967	0.004743764	0.0375	79.0	23.027910232543945
9	192.6	24.795967	200.0	88.0	192.6	59.4718	15.662745	75.60005	3.9247108	40000	-1.3038516e-08	289.76453	-0.0061229263	-27.282562	0.56598437	0.0038027482	0.063999996	79.0	25.29206347465515
