Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.11111	12.18464	92.0	9.0	22.11111	-0.26039463	0.06604505	-0.03791295	-0.43440312	4000	-5.5413693e-08	283.16412	-0.017064836	-154.5022	0.6886235	0.015475574	0.26575	15.0	1.9652504920959473
1	27.713287	13.927696	87.0	9.0	27.713287	7.9567776	0.18444914	8.275084	6.694347	8000	-3.3993274e-08	177.26865	-0.013392276	-56.926666	0.6877663	0.003627256	0.04525	79.0	4.353612661361694
2	34.58772	21.69599	122.0	9.0	34.58772	13.05454	1.219237	13.790998	-0.5311237	12000	2.6542693e-08	264.57495	-0.015744872	-54.673813	0.6757717	0.004262966	0.05775	79.0	6.764326095581055
3	40.340206	28.855803	178.0	11.0	40.340206	17.79058	2.1123493	18.745903	-5.512513	16000	3.3527613e-08	348.46494	-0.016825793	-46.35607	0.65618426	0.009328272	0.06575	79.0	9.015148639678955
4	79.20408	48.549988	195.0	14.0	79.20408	22.460035	2.703817	23.378923	-9.13141	20000	-7.450581e-09	711.0913	-0.014394488	-198.02953	0.64360476	0.0051239296	0.05475	79.0	11.242276430130005
5	101.0	56.037148	200.0	13.0	101.0	31.510958	1.597093	31.948517	7.5643325	24000	-3.7252903e-09	720.21643	-0.010612748	-165.492	0.6259422	0.004760321	0.03325	79.0	13.571987390518188
6	160.33333	35.129128	200.0	79.0	160.33333	37.15611	3.9948251	39.06406	9.4113455	28000	4.8195943e-08	662.56525	-0.005476247	-242.73074	0.618755	0.0020455658	0.030250002	79.0	15.90079379081726
7	162.13043	39.31291	200.0	44.0	162.13043	42.39951	9.026473	47.017006	1.4785838	32000	2.4912879e-08	465.96143	-0.008118741	-123.48674	0.59938145	0.0051598474	0.03325	79.0	18.23618769645691
8	172.0	45.797977	200.0	45.0	172.0	46.68075	11.088457	52.727688	6.069872	36000	1.1175871e-08	462.6469	-0.0029245876	-104.04462	0.5950562	0.0033594698	0.02125	79.0	20.565797090530396
9	190.8	20.220287	200.0	135.0	190.8	49.108837	14.781849	56.93586	-0.82321274	40000	1.3038516e-08	463.3194	-0.0026967824	-103.12143	0.5886842	0.0012457735	0.01725	79.0	23.09710955619812
